iter	Passed	Remaining
439	1291	1643
440	1293	1639
441	1295	1635
442	1297	1631
443	1299	1627
444	1302	1624
445	1304	1620
446	1307	1616
447	1309	1613
448	1311	1609
449	1313	1605
450	1316	1602
451	1318	1598
452	1321	1595
453	1323	1591
454	1325	1588
455	1328	1584
456	1330	1580
457	1332	1577
458	1335	1574
459	1337	1570
460	1339	1566
461	1342	1563
462	1344	1559
463	1347	1556
464	1349	1552
465	1351	1548
466	1353	1545
467	1356	1541
468	1358	1537
469	1360	1534
470	1362	1530
471	1365	1527
472	1367	1523
473	1370	1520
474	1372	1517
475	1374	1513
476	1376	1509
477	1379	1506
478	1381	1502
479	1383	1499
480	1386	1495
481	1388	1492
482	1390	1488
483	1392	1484
484	1395	1481
485	1397	1478
486	1399	1474
487	1402	1471
488	1404	1467
489	1406	1463
490	1409	1460
491	1411	1457
492	1413	1453
493	1416	1450
494	1418	1446
495	1420	1443
496	1422	1439
497	1424	1436
498	1427	1432
499	1429	1429
500	1431	1425
501	1434	1422
502	1436	1419
503	1438	1415
504	1440	1412
505	1443	1408
506	1445	1405
507	1447	1402
508	1450	1398
509	1452	1395
510	1455	1392
511	1457	1389
512	1459	1385
513	1462	1382
514	1464	1379
515	1466	1375
516	1469	1372
517	1473	1370
518	1476	1367
519	1479	1365
520	1482	1362
521	1484	1359
522	1486	1356
523	1489	1353
524	1491	1349
525	1494	1346
526	1497	1343
527	1499	1340
528	1502	1337
529	1504	1334
530	1507	1331
531	1509	1327
532	1511	1324
533	1514	1321
534	1516	1317
535	1518	1314
536	1520	1311
537	1523	1307
538	1525	1304
539	1527	1301
540	1530	1298
541	1532	1295
542	1535	1292
543	1537	1289
544	1540	1286
545	1543	1283
546	1545	1280
547	1548	1277
548	1551	1274
549	1553	1271
550	1556	1268
551	1559	1265
552	1562	1262
553	1564	1259
554	1567	1256
555	1570	1253
556	1572	1250
557	1575	1247
558	1578	1245
559	1580	1242
560	1583	1239
561	1585	1236
562	1589	1233
563	1591	1230
564	1594	1227
565	1597	1224
566	1599	1221
567	1601	1218
568	1604	1215
569	1607	1212
570	1609	1209
571	1612	1206
572	1615	1203
573	1617	1200
574	1620	1198
575	1623	1195
576	1626	1192
577	1629	1189
578	1631	1186
579	1635	1184
580	1637	1181
581	1640	1178
582	1643	1175
583	1646	1172
584	1649	1170
585	1652	1167
586	1655	1164
587	1657	1161
588	1660	1158
589	1662	1155
590	1665	1152
591	1668	1150
592	1671	1147
593	1674	1144
594	1677	1141
595	1679	1138
596	1682	1135
597	1684	1132
598	1687	1129
599	1689	1126
600	1692	1123
601	1695	1120
602	1697	1117
603	1700	1114
604	1702	1111
605	1705	1108
606	1707	1105
607	1710	1102
608	1712	1099
609	1715	1096
610	1717	1093
611	1720	1090
612	1723	1087
613	1725	1084
614	1728	1082
615	1730	1079
616	1733	1076
617	1736	1073
618	1738	1070
619	1741	1067
620	1743	1064
621	1746	1061
622	1749	1058
623	1751	1055
624	1754	1052
625	1757	1049
626	1759	1046
627	1762	1043
628	1765	1041
629	1767	1038
630	1770	1035
631	1772	1032
632	1775	1029
633	1777	1026
634	1781	1023
635	1783	1020
636	1786	1017
637	1788	1014
638	1790	1011
639	1793	1008
640	1796	1005
641	1798	1002
642	1801	999
643	1803	997
644	1806	994
645	1809	991
646	1812	989
647	1815	986
648	1818	983
649	1820	980
650	1823	977
651	1826	974
652	1829	972
653	1832	969
654	1835	966
655	1837	963
656	1840	960
657	1842	957
658	1845	954
659	1848	952
660	1850	949
661	1853	946
662	1856	943
663	1858	940
664	1861	937
665	1863	934
666	1865	931
667	1868	928
668	1870	925
669	1873	922
670	1875	919
671	1877	916
672	1880	913
673	1882	910
674	1885	907
675	1887	904
676	1889	901
677	1892	898
678	1894	895
679	1897	892
680	1899	889
681	1902	887
682	1904	884
683	1907	881
684	1909	878
685	1912	875
686	1914	872
687	1916	869
688	1919	866
689	1921	863
690	1923	860
691	1925	857
692	1928	854
693	1930	851
694	1933	848
695	1935	845
696	1937	842
697	1939	839
698	1942	836
699	1944	833
700	1946	830
701	1948	827
702	1951	824
703	1953	821
704	1955	818
705	1957	815
706	1960	812
707	1963	809
708	1966	807
709	1969	804
710	1971	801
711	1974	798
712	1976	795
713	1978	792
714	1980	789
715	1983	786
716	1985	783
717	1987	780
718	1990	777
719	1992	774
720	1995	772
721	1997	769
722	2000	766
723	2002	763
724	2005	760
725	2008	757
726	2010	755
727	2013	752
728	2015	749
729	2017	746
730	2020	743
731	2023	740
732	2026	737
733	2028	735
734	2030	732
735	2033	729
736	2036	726
737	2038	723
738	2041	720
739	2043	718
740	2046	715
741	2048	712
742	2050	709
743	2053	706
744	2055	703
745	2057	700
746	2059	697
747	2062	694
748	2064	691
749	2067	689
750	2069	686
751	2071	683
752	2074	680
753	2076	677
754	2078	674
755	2080	671
756	2083	668
757	2085	665
758	2087	662
759	2090	660
760	2092	657
761	2094	654
762	2097	651
763	2100	648
764	2102	645
765	2104	643
766	2107	640
767	2110	637
768	2112	634
769	2115	631
770	2117	628
771	2119	626
772	2121	623
773	2124	620
774	2127	617
775	2129	614
776	2132	611
777	2134	609
778	2137	606
779	2140	603
780	2142	600
781	2144	597
782	2147	595
783	2149	592
784	2152	589
785	2155	586
786	2157	584
787	2160	581
788	2163	578
789	2165	575
790	2168	572
791	2170	570
792	2173	567
793	2175	564
794	2178	561
795	2180	558
796	2183	556
797	2186	553
798	2189	550
799	2191	547
800	2194	545
801	2196	542
802	2199	539
803	2202	536
804	2204	534
805	2207	531
806	2210	528
807	2212	525
808	2214	522
809	2217	520
810	2219	517
811	2221	514
812	2224	511
813	2226	508
814	2230	506
815	2233	503
816	2235	500
817	2238	497
818	2240	495
819	2243	492
820	2246	489
821	2248	486
822	2251	484
823	2253	481
824	2255	478
825	2259	475
826	2261	473
827	2263	470
828	2266	467
829	2268	464
830	2271	461
831	2274	459
832	2276	456
833	2278	453
834	2281	450
835	2283	448
836	2286	445
837	2289	442
838	2292	439
839	2294	437
840	2296	434
841	2299	431
842	2301	428
843	2303	425
844	2306	423
845	2308	420
846	2311	417
847	2313	414
848	2316	411
849	2318	409
850	2321	406
851	2323	403
852	2326	400
853	2328	398
854	2331	395
855	2333	392
856	2336	389
857	2338	386
858	2340	384
859	2342	381
860	2344	378
861	2347	375
862	2349	372
863	2351	370
864	2354	367
865	2356	364
866	2358	361
867	2361	359
868	2363	356
869	2366	353
870	2368	350
871	2370	347
872	2372	345
873	2374	342
874	2377	339
875	2380	336
876	2382	334
877	2384	331
878	2387	328
879	2389	325
880	2392	323
881	2394	320
882	2396	317
883	2398	314
884	2401	312
885	2403	309
886	2405	306
887	2408	303
888	2410	300
889	2412	298
890	2414	295
891	2416	292
892	2419	289
893	2421	287
894	2423	284
895	2426	281
896	2428	278
897	2430	276
898	2432	273
899	2435	270
900	2437	267
901	2439	265
902	2442	262
903	2444	259
904	2446	256
905	2449	254
906	2451	251
907	2453	248
908	2455	245
909	2458	243
910	2460	240
911	2462	237
912	2464	234
913	2467	232
914	2469	229
915	2471	226
916	2474	223
917	2476	221
918	2478	218
919	2480	215
920	2483	213
921	2485	210
922	2488	207
923	2491	204
924	2494	202
925	2496	199
926	2499	196
927	2502	194
928	2504	191
929	2506	188
930	2509	185
931	2511	183
932	2513	180
933	2516	177
934	2518	175
935	2521	172
936	2523	169
937	2525	166
938	2528	164
939	2531	161
940	2533	158
941	2536	156
942	2539	153
943	2541	150
944	2543	148
945	2546	145
946	2549	142
947	2552	139
948	2554	137
949	2556	134
950	2559	131
951	2562	129
952	2564	126
953	2567	123
954	2569	121
955	2571	118
956	2574	115
957	2576	112
958	2579	110
959	2581	107
960	2583	104
961	2586	102
962	2588	99
963	2590	96
964	2592	94
965	2595	91
966	2597	88
967	2599	85
968	2601	83
969	2604	80
970	2606	77
971	2609	75
972	2611	72
973	2614	69
974	2616	67
975	2619	64
976	2621	61
977	2624	59
978	2626	56
979	2628	53
980	2631	50
981	2633	48
982	2636	45
983	2638	42
984	2640	40
985	2643	37
986	2645	34
987	2647	32
988	2649	29
989	2652	26
990	2654	24
991	2656	21
992	2658	18
993	2661	16
994	2663	13
995	2665	10
996	2668	8
997	2670	5
998	2672	2
999	2674	0
